id,sku,categoria,subcategoria,nome_produto,marca,unidade,preco_unitario_brl,estoque_minimo,estoque_atual
1,FLT-OLE-001,Filtros,Filtro de Oleo,Filtro de oleo motor 1.0/1.4 flex,Tecfil,UN,18.90,20,45
2,FLT-OLE-002,Filtros,Filtro de Oleo,Filtro de oleo motor 1.6/1.8 flex,Mann Filter,UN,22.50,15,30
3,FLT-OLE-003,Filtros,Filtro de Oleo,Filtro de oleo motor 2.0 flex,Fram,UN,25.00,10,25
4,FLT-OLE-004,Filtros,Filtro de Oleo,Filtro de oleo motor diesel,Tecfil,UN,35.00,8,18
5,FLT-ARM-001,Filtros,Filtro de Ar Motor,Filtro de ar motor 1.0/1.4,Tecfil,UN,32.00,15,35
6,FLT-ARM-002,Filtros,Filtro de Ar Motor,Filtro de ar motor 1.6/2.0,Mann Filter,UN,38.00,12,28
7,FLT-ARM-003,Filtros,Filtro de Ar Motor,Filtro de ar motor pickup/SUV,Fram,UN,55.00,8,15
8,FLT-CMB-001,Filtros,Filtro de Combustivel,Filtro combustivel flex/gasolina,Tecfil,UN,28.00,12,30
9,FLT-CMB-002,Filtros,Filtro de Combustivel,Filtro combustivel diesel,Mann Filter,UN,45.00,8,15
10,FLT-CMB-003,Filtros,Filtro de Combustivel,Filtro combustivel injecao (alta pressao),Bosch,UN,85.00,5,12
11,FLT-CAB-001,Filtros,Filtro de Cabine,Filtro de ar condicionado/cabine universal,Tecfil,UN,35.00,15,30
12,FLT-CAB-002,Filtros,Filtro de Cabine,Filtro de cabine carvao ativado,Mann Filter,UN,55.00,8,18
13,FLT-TRN-001,Filtros,Filtro de Transmissao,Filtro de oleo cambio automatico,Wega,UN,42.00,5,10
14,OLB-MOT-001,Oleos e Lubrificantes,Oleo Motor,Oleo motor 5W30 sintetico 1L,Mobil Super 3000,UN,42.00,30,60
15,OLB-MOT-002,Oleos e Lubrificantes,Oleo Motor,Oleo motor 5W30 sintetico 1L,Castrol Magnatec,UN,40.00,25,50
16,OLB-MOT-003,Oleos e Lubrificantes,Oleo Motor,Oleo motor 5W40 sintetico 1L,Petronas Syntium,UN,45.00,20,40
17,OLB-MOT-004,Oleos e Lubrificantes,Oleo Motor,Oleo motor 10W40 semissintetico 1L,Lubrax,UN,28.00,20,45
18,OLB-MOT-005,Oleos e Lubrificantes,Oleo Motor,Oleo motor 15W40 mineral diesel 1L,Mobil Delvac,UN,25.00,15,30
19,OLB-MOT-006,Oleos e Lubrificantes,Oleo Motor,Oleo motor 0W20 sintetico 1L,Castrol Edge,UN,55.00,10,20
